task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	d8/10ca8d	7972936	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (1)	COMPLETED	0	2025-11-26 11:09:21.538	14.3s	159ms	28.4%	5.6 MB	8.4 MB	10.5 MB	10.3 MB
10	69/8b9ef8	7972940	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (10)	COMPLETED	0	2025-11-26 11:09:21.779	14.1s	111ms	38.6%	5.6 MB	8.4 MB	10 MB	9.8 MB
19	05/827d07	7972944	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (19)	COMPLETED	0	2025-11-26 11:09:22.008	13.9s	196ms	23.4%	5.6 MB	8.4 MB	10.2 MB	10.1 MB
5	96/72a731	7972942	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (5)	COMPLETED	0	2025-11-26 11:09:21.891	14s	114ms	39.0%	5.6 MB	8.4 MB	10.4 MB	10.2 MB
42	07/9ceac2	7972943	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (42)	COMPLETED	0	2025-11-26 11:09:21.951	13.9s	116ms	22.6%	5.8 MB	8.4 MB	10.1 MB	9.9 MB
32	c2/9efe63	7972935	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (32)	COMPLETED	0	2025-11-26 11:09:21.475	14.4s	121ms	35.9%	5.6 MB	8.4 MB	10.7 MB	10.5 MB
3	a6/b09e5a	7972939	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (3)	COMPLETED	0	2025-11-26 11:09:21.722	14.1s	125ms	34.8%	5.6 MB	8.4 MB	11.9 MB	11.7 MB
23	39/fdbdec	7972937	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (23)	COMPLETED	0	2025-11-26 11:09:21.598	14.3s	115ms	38.3%	5.6 MB	8.4 MB	9.2 MB	9.1 MB
2	88/c90dc6	7972941	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (2)	COMPLETED	0	2025-11-26 11:09:21.835	14s	141ms	32.1%	5.6 MB	8.4 MB	12.2 MB	12.1 MB
30	32/0315ed	7972938	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (30)	COMPLETED	0	2025-11-26 11:09:21.657	14.2s	121ms	36.4%	5.5 MB	8.4 MB	10.7 MB	10.5 MB
13	e9/3d7018	7972948	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (13)	COMPLETED	0	2025-11-26 11:09:22.237	13.6s	169ms	27.4%	5.5 MB	8.4 MB	10.2 MB	10.1 MB
39	46/a43ead	7972945	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (39)	COMPLETED	0	2025-11-26 11:09:22.069	13.8s	154ms	30.0%	5.6 MB	8.4 MB	10.8 MB	10.7 MB
43	02/4f2ade	7972946	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (43)	COMPLETED	0	2025-11-26 11:09:22.124	13.8s	124ms	35.6%	5.7 MB	8.4 MB	10 MB	9.8 MB
37	5f/607616	7972950	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (37)	COMPLETED	0	2025-11-26 11:09:22.353	13.5s	126ms	35.2%	5.7 MB	8.4 MB	9.6 MB	9.4 MB
21	4e/13b9af	7972952	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (21)	COMPLETED	0	2025-11-26 11:09:22.467	13.4s	144ms	25.1%	5.8 MB	8.4 MB	12.8 MB	12.6 MB
4	ad/a06f73	7972951	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (4)	COMPLETED	0	2025-11-26 11:09:22.410	13.5s	144ms	25.1%	5.9 MB	8.4 MB	11.8 MB	11.6 MB
17	98/775db7	7972949	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (17)	COMPLETED	0	2025-11-26 11:09:22.293	13.6s	135ms	26.4%	5.5 MB	8.4 MB	10.1 MB	9.9 MB
7	ac/77454f	7972947	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (7)	COMPLETED	0	2025-11-26 11:09:22.181	13.7s	141ms	25.6%	5.6 MB	8.4 MB	10.6 MB	10.4 MB
36	3d/7a068b	7972953	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (36)	COMPLETED	0	2025-11-26 11:09:22.526	13.4s	148ms	30.8%	5.4 MB	8.4 MB	10.4 MB	10.2 MB
28	1a/ce7774	7972954	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (28)	COMPLETED	0	2025-11-26 11:09:22.584	13.3s	130ms	27.5%	5.7 MB	8.4 MB	10.1 MB	9.9 MB
31	e6/fd6457	7972955	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (31)	COMPLETED	0	2025-11-26 11:09:22.641	13.3s	145ms	36.0%	5.8 MB	8.4 MB	10.9 MB	10.7 MB
25	7f/027263	7972956	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (25)	COMPLETED	0	2025-11-26 11:09:22.703	13.2s	136ms	26.3%	5.6 MB	8.4 MB	10.7 MB	10.6 MB
24	2a/0c14d6	7972957	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (24)	COMPLETED	0	2025-11-26 11:09:22.758	13.2s	129ms	35.1%	5.7 MB	8.4 MB	10.7 MB	10.6 MB
12	4d/aab8ed	7972958	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (12)	COMPLETED	0	2025-11-26 11:09:22.814	13.1s	147ms	24.7%	5.7 MB	8.4 MB	10.6 MB	10.4 MB
15	f4/959e29	7972959	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (15)	COMPLETED	0	2025-11-26 11:09:22.868	13.1s	185ms	19.3%	5.7 MB	8.4 MB	10.6 MB	10.4 MB
20	a3/95765c	7972960	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (20)	COMPLETED	0	2025-11-26 11:09:22.924	13s	155ms	29.0%	5.7 MB	8.4 MB	10.5 MB	10.3 MB
29	c5/8babc3	7972961	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (29)	COMPLETED	0	2025-11-26 11:09:22.981	13s	117ms	37.9%	5.7 MB	8.4 MB	10.4 MB	10.2 MB
14	5a/3387ff	7972962	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (14)	COMPLETED	0	2025-11-26 11:09:23.038	12.9s	200ms	23.1%	5.7 MB	8.4 MB	10.3 MB	10.1 MB
11	85/f9a4ee	7972963	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (11)	COMPLETED	0	2025-11-26 11:09:23.095	12.9s	115ms	30.5%	5.5 MB	8.4 MB	9.4 MB	9.2 MB
33	f0/0aa9df	7972964	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (33)	COMPLETED	0	2025-11-26 11:09:23.150	12.8s	126ms	34.6%	5.7 MB	8.4 MB	10 MB	9.8 MB
26	5c/8ffff2	7972965	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (26)	COMPLETED	0	2025-11-26 11:09:23.208	12.7s	121ms	29.9%	5.5 MB	8.4 MB	10.4 MB	10.3 MB
35	58/29dcca	7972966	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (35)	COMPLETED	0	2025-11-26 11:09:23.264	12.7s	119ms	37.4%	5.5 MB	8.4 MB	10.1 MB	10 MB
9	b5/7d539d	7972967	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (9)	COMPLETED	0	2025-11-26 11:09:23.321	12.6s	140ms	31.0%	5.7 MB	8.4 MB	10.8 MB	10.6 MB
6	ee/5a5404	7972968	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (6)	COMPLETED	0	2025-11-26 11:09:23.376	12.6s	157ms	22.9%	5.7 MB	8.4 MB	11.1 MB	10.9 MB
44	c4/0d20c1	7972969	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (44)	COMPLETED	0	2025-11-26 11:09:23.431	12.5s	199ms	23.5%	5.7 MB	8.4 MB	10.5 MB	10.3 MB
34	47/daa146	7972970	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (34)	COMPLETED	0	2025-11-26 11:09:23.489	12.5s	151ms	30.1%	5.6 MB	8.4 MB	10.3 MB	10.2 MB
18	36/a06b9a	7972971	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (18)	COMPLETED	0	2025-11-26 11:09:23.549	12.4s	181ms	25.8%	5.4 MB	8.4 MB	10 MB	9.8 MB
40	2e/b16b4b	7972972	BLAST:ALL_VS_ALL:INFILE_HANDLING_UNIX (40)	COMPLETED	0	2025-11-26 11:09:23.606	12.4s	137ms	32.5%	5.6 MB	8.4 MB	10 MB	9.9 MB
