Taxon	RefSeq Genome Accession
Leptospira adleri Thibeaux et al. 2020	GCF_002811985.1
Leptospira alexanderi Brenner et al. 1999	GCF_000243815.2
Leptospira alstonii Smythe et al. 2013	GCF_000347175.1
"Leptospira andamana" Tripathy et al. 1971	
Leptospira andrefontaineae Vincent et al. 2020	GCF_004770105.1
Leptospira bandrabouensis Vincent et al. 2020	GCF_004770905.1
Leptospira barantonii Thibeaux et al. 2020	GCF_002811925.1
Leptospira biflexa (Wolbach and Binger 1914) Noguchi 1918 (Approved Lists 1980)	GCF_000017685.1
Leptospira borgpetersenii Yasuda et al. 1987	GCF_003046425.1
Leptospira bourretii Vincent et al. 2020	GCF_004769285.1
Leptospira bouyouniensis Vincent et al. 2020	GCF_004770445.1
Leptospira brenneri Thibeaux et al. 2020	GCF_002812125.1
"Leptospira brihuegai" Grune Loffler et al. 2015	
Leptospira broomii Levett et al. 2006	GCF_000243715.2
Leptospira congkakensis Vincent et al. 2020	GCF_004770265.1
Leptospira dzianensis Vincent et al. 2020	
Leptospira dzoumogneensis Vincent et al. 2020	GCF_004770895.1
Leptospira ellinghausenii Masuzawa et al. 2019	GCF_003114815.1
Leptospira ellisii Thibeaux et al. 2020	GCF_002811955.1
Leptospira fainei Perolat et al. 1998	GCF_000306235.2
Leptospira fletcheri Vincent et al. 2020	GCF_004769195.1
Leptospira fluminis Vincent et al 2020	
Leptospira gomenensis Vincent et al. 2020	GCF_004770155.1
Leptospira haakeii Thibeaux et al. 2020	GCF_002812045.1
Leptospira harrisiae Thibeaux et al. 2020	GCF_002811945.1
Leptospira hartskeerlii Thibeaux et al. 2020	GCF_002811475.1
"Leptospira icteroides" Noguchi 1919	
Leptospira idonii Saito et al. 2013	GCF_004770995.1
"Leptospira illini" Tripathy and Hanson 1972	
Leptospira ilyithenensis Vincent et al. 2020	GCF_004771005.1
Leptospira inadai Yasuda et al. 1987	GCF_000243675.2
Leptospira interrogans (Stimson 1907) Wenyon 1926 (Approved Lists 1980)	GCF_000343165.1
Leptospira jelokensis Vincent et al. 2020	GCF_004769775.1
Leptospira johnsonii Masuzawa et al. 2019	GCF_003112675.1
Leptospira kanakyensis Vincent et al. 2020	GCF_004769235.1
Leptospira kemamanensis Vincent et al. 2020	GCF_004769665.1
Leptospira kirschneri Ramadass et al. 1992	GCF_000243695.2
Leptospira kmetyi Slack et al. 2009	GCF_000243735.2
Leptospira kobayashii Vincent et al. 2020	GCF_003114835.1
Leptospira koniamboensis Vincent et al. 2020	
Leptospira koniambonensis corrig. Vincent et al. 2020	GCF_004769555.1
Leptospira langatensis Vincent et al. 2020	GCF_004770615.1
Leptospira levettii Thibeaux et al. 2020	GCF_002812085.1
Leptospira licerasiae Matthias et al. 2009	GCF_000244755.1
"Leptospira macculloughii" Thibeaux et al. 2018	
Leptospira mayottensis Bourhy et al. 2014	GCF_000306675.2
Leptospira meyeri Yasuda et al. 1987	GCF_004368965.1
Leptospira montravelensis Vincent et al. 2020	GCF_004769455.1
Leptospira mtsangambouensis Vincent et al. 2020	GCF_004770475.1
Leptospira neocaledonica Thibeaux et al. 2020	GCF_002812205.1
Leptospira noguchii Yasuda et al. 1987	GCF_000306255.2
Leptospira noumeaensis Vincent et al. 2020	GCF_004770765.1
Leptospira ognonensis Vincent et al. 2020	GCF_004770745.1
Turneriella Leptospira parva Hovind-Hougen et al. 1982	
Leptospira perdikensis Vincent et al. 2020	GCF_004769575.1
Leptospira perolatii Thibeaux et al. 2020	GCF_002811875.1
Leptospira putramalaysiae Vincent et al. 2020	
Leptospira ryugenii Masuzawa et al. 2019	GCF_003114855.1
Leptospira saintgironsiae Thibeaux et al. 2020	GCF_002811765.1
Leptospira santarosai Yasuda et al. 1987	GCF_000313175.2
Leptospira sarikeiensis Vincent et al. 2020	GCF_004769615.1
Leptospira selangorensis Vincent et al. 2020	GCF_004769405.1
Leptospira semungkisensis Vincent et al. 2020	GCF_004770055.1
Leptospira stimsonii Casanovas-Massana et al. 2020	GCF_003545885.1
Leptospira terpstrae Smythe et al. 2013	GCF_000332495.1
Leptospira tipperaryensis Vincent et al. 2020	GCF_001729245.1
Leptospira vanthielii Smythe et al. 2013	GCF_000332455.1
Leptospira venezuelensis Puche et al. 2018	GCF_002150035.1
Leptospira weilii Yasuda et al. 1987	GCF_006874745.1
Leptospira wolbachii Yasuda et al. 1987	GCF_000332515.2
Leptospira wolffii Slack et al. 2008	GCF_000306115.2
Leptospira yanagawae Smythe et al. 2013	GCF_000332475.2
Leptospira yasudae Casanovas-Massana et al. 2020	GCF_003545925.1
	
Leptospira abararensis Korba et al. 2021	GCF_016918735.1
Leptospira ainazelensis Korba et al. 2021	GCF_016918785.1
Leptospira ainlahdjerensis Korba et al. 2021	GCF_016919175.1
Leptospira chreensis Korba et al. 2021	GCF_016919165.1
	
Leptospira sanjuanensis Fernandes et al. 2022	GCF_022267325.1
	
Leptospira cinconiae Hamond et al. 2025	GCF_040833995.1
Leptospira gorisiae Hamond et al. 2025	GCF_040833975.1
Leptospira iowaensis Hamond et al. 2025	GCF_040833965.1 
Leptospira mgodei Hamond et al. 2025	GCF_040833985.1
Leptospira milleri Hamond et al. 2025	GCF_040833955.1
	
	
