Sample	Sample	Fragments_Used_for_Bidirectional_Calc[#]	Bidirectional_ANI[%]	Bidirectional_StDev[%]	Fragments_Used_for_Unidirectional_Calc[#]	Unidirectional_ANI[%]	Unidirectional_StDev[%]	Fragments_Used_for_Unidirectional_Calc[#]	Unidirectional_ANI[%]	Unidirectional_StDev[%]
Leptospira_idonii_GCF_004770995	Leptospira_haakeii_GCF_002812045	691	70.905	4.209	2367	70.833	4.185	2373	70.797	4.174
Leptospira_ognonensis_GCF_004770745	Leptospira_haakeii_GCF_002812045	566.5	69.723	3.825	1881	69.533	3.720	1870	69.538	3.669
Leptospira_iowaensis_GCF_040833965	Leptospira_haakeii_GCF_002812045	581	70.266	4.128	2018	70.006	4.026	2015	70.231	4.351
Leptospira_sanjuanensis_GCF_022267325	Leptospira_haakeii_GCF_002812045	1510	71.505	4.289	4990	71.226	4.196	4932	71.339	4.440
Leptospira_mgodei_GCF_040833985	Leptospira_haakeii_GCF_002812045	600.5	70.405	4.200	2054	70.112	4.055	2029	70.318	4.379
Leptospira_milleri_GCF_040833955	Leptospira_haakeii_GCF_002812045	516.5	70.253	4.168	1809	70.039	4.014	1813	70.274	4.406
Leptospira_brenneri_GCF_002812125	Leptospira_haakeii_GCF_002812045	590.5	70.367	4.232	2077	70.196	4.130	2047	70.236	4.077
Leptospira_santarosai_GCF_000313175	Leptospira_haakeii_GCF_002812045	1334	71.530	4.150	4362	71.269	4.093	4313	71.358	4.308
Leptospira_ellisii_GCF_002811955	Leptospira_haakeii_GCF_002812045	1306	71.099	4.228	4265	70.908	4.097	4182	70.925	4.085
Leptospira_biflexa_GCF_000017685	Leptospira_haakeii_GCF_002812045	576	70.123	4.115	1972	69.929	3.990	1948	70.165	4.333
Leptospira_semungkisensis_GCF_004770055	Leptospira_haakeii_GCF_002812045	5117.5	77.069	4.837	14615	76.577	4.865	14547	76.612	4.840
Leptospira_bourretii_GCF_004769285	Leptospira_haakeii_GCF_002812045	583.5	70.371	4.264	2122	70.177	4.044	2102	70.259	4.147
Leptospira_terpstrae_GCF_000332495	Leptospira_haakeii_GCF_002812045	580	70.360	4.079	2054	70.145	3.994	2033	70.501	4.446
Leptospira_gomenensis_GCF_004770155	Leptospira_haakeii_GCF_002812045	1414	71.141	4.064	4565	70.961	4.101	4526	70.971	4.073
Leptospira_abararensis_GCF_016918735	Leptospira_haakeii_GCF_002812045	591.5	70.332	4.209	2083	70.041	4.022	2060	70.076	3.999
Leptospira_harrisiae_GCF_002811945	Leptospira_haakeii_GCF_002812045	610	70.470	4.257	2077	70.193	4.152	2041	70.358	4.301
Leptospira_meyeri_GCF_004368965	Leptospira_haakeii_GCF_002812045	627.5	70.382	4.193	2102	70.123	4.060	2060	70.253	4.164
Leptospira_kmetyi_GCF_000243735	Leptospira_haakeii_GCF_002812045	1585	71.494	4.205	5278	71.253	4.156	5229	71.287	4.171
Leptospira_gorisiae_GCF_040833975	Leptospira_haakeii_GCF_002812045	1520	71.472	4.128	5085	71.242	4.117	5007	71.372	4.306
Leptospira_cinconiae_GCF_040833995	Leptospira_haakeii_GCF_002812045	7255	86.238	3.624	17057	85.955	3.968	17025	86.041	3.823
Leptospira_sarikeiensis_GCF_004769615	Leptospira_haakeii_GCF_002812045	6753	81.106	4.767	17035	80.722	4.908	16967	80.723	4.905
Leptospira_perolatii_GCF_002811875	Leptospira_haakeii_GCF_002812045	2567	72.429	4.398	8320	72.065	4.332	8245	72.100	4.314
Leptospira_bouyouniensis_GCF_004770445	Leptospira_haakeii_GCF_002812045	594.5	70.108	4.065	2016	69.957	3.987	1982	70.068	4.120
Leptospira_dzoumogneensis_GCF_004770895	Leptospira_haakeii_GCF_002812045	8156.5	89.269	3.519	18398	89.042	3.839	18342	89.081	3.763
Leptospira_mtsangambouensis_GCF_004770475	Leptospira_haakeii_GCF_002812045	620	70.244	4.055	2133	70.145	4.079	2074	70.280	4.142
Leptospira_saintgironsiae_GCF_002811765	Leptospira_haakeii_GCF_002812045	8100.5	89.580	3.489	18168	89.371	3.831	18111	89.400	3.785
Leptospira_licerasiae_GCF_000244755	Leptospira_haakeii_GCF_002812045	7663	87.186	3.593	17658	86.941	3.958	17676	86.959	3.914
Leptospira_neocaledonica_GCF_002812205	Leptospira_haakeii_GCF_002812045	7927.5	87.572	3.650	17981	87.398	3.877	18001	87.413	3.843
Leptospira_yasudae_GCF_003545925	Leptospira_haakeii_GCF_002812045	1514	71.488	4.216	5038	71.302	4.177	4968	71.306	4.161
Leptospira_fainei_GCF_000306235	Leptospira_haakeii_GCF_002812045	3248	72.705	4.283	9836	72.376	4.235	9873	72.375	4.253
Leptospira_ainlahdjerensis_GCF_016919175	Leptospira_haakeii_GCF_002812045	1555	71.496	4.157	5223	71.301	4.136	5182	71.351	4.159
Leptospira_jelokensis_GCF_004769775	Leptospira_haakeii_GCF_002812045	549	70.089	4.051	1923	69.886	3.971	1899	70.089	4.237
Leptospira_vanthielii_GCF_000332455	Leptospira_haakeii_GCF_002812045	590.5	70.277	4.165	2069	70.018	4.022	2055	70.456	4.539
Leptospira_ryugenii_GCF_003114855	Leptospira_haakeii_GCF_002812045	524	69.588	3.704	1848	69.504	3.815	1823	69.549	3.746
Leptospira_tipperaryensis_GCF_001729245	Leptospira_haakeii_GCF_002812045	1666	71.534	4.201	5565	71.310	4.181	5466	71.454	4.363
Leptospira_adleri_GCF_002811985	Leptospira_haakeii_GCF_002812045	1542	71.432	4.098	5140	71.189	4.132	5018	71.232	4.106
Leptospira_ellinghausenii_GCF_003114815	Leptospira_haakeii_GCF_002812045	567.5	70.241	4.100	1967	70.057	4.050	1945	70.110	3.986
Leptospira_congkakensis_GCF_004770265	Leptospira_haakeii_GCF_002812045	602	70.546	4.237	2092	70.155	4.119	2050	70.220	4.064
Leptospira_mayottensis_GCF_000306675	Leptospira_haakeii_GCF_002812045	1343	71.607	4.185	4493	71.347	4.115	4431	71.491	4.339
Leptospira_kobayashii_GCF_003114835	Leptospira_haakeii_GCF_002812045	690	70.492	3.995	2434	70.340	3.940	2415	70.408	3.920
Leptospira_selangorensis_GCF_004769405	Leptospira_haakeii_GCF_002812045	8914.5	91.989	2.955	19319	91.802	3.324	19255	91.852	3.194
Leptospira_chreensis_GCF_016919165	Leptospira_haakeii_GCF_002812045	591.5	70.404	4.257	2041	70.164	4.115	2107	70.187	4.050
