-	Leptospira_tipperaryensis_GCF_001729245	Leptospira_saintgironsiae_GCF_002811765	Leptospira_johnsonii_GCF_003112675	Leptospira_santarosai_GCF_000313175	Leptospira_levettii_GCF_002812085	Leptospira_weilii_GCF_006874745	Leptospira_bouyouniensis_GCF_004770445	Leptospira_inadai_GCF_000243675	Leptospira_gomenensis_GCF_004770155	Leptospira_mtsangambouensis_GCF_004770475	Leptospira_bourretii_GCF_004769285	Leptospira_ellisii_GCF_002811955	Leptospira_langatensis_GCF_004770615	Leptospira_licerasiae_GCF_000244755	Leptospira_ryugenii_GCF_003114855	Leptospira_fletcheri_GCF_004769195	Leptospira_gorisiae_GCF_040833975	Leptospira_brenneri_GCF_002812125	Leptospira_yanagawae_GCF_000332475	Leptospira_selangorensis_GCF_004769405	Leptospira_kmetyi_GCF_000243735	Leptospira_bandrabouensis_GCF_004770905	Leptospira_haakeii_GCF_002812045	Leptospira_noguchii_GCF_000306255	Leptospira_interrogans_GCF_000343165	Leptospira_cinconiae_GCF_040833995	Leptospira_alexanderi_GCF_000243815	Leptospira_ilyithenensis_GCF_004771005	Leptospira_alstonii_GCF_000347175	Leptospira_broomii_GCF_000243715	Leptospira_chreensis_GCF_016919165	Leptospira_perolatii_GCF_002811875	Leptospira_idonii_GCF_004770995	Leptospira_meyeri_GCF_004368965	Leptospira_ellinghausenii_GCF_003114815	Leptospira_kirschneri_GCF_000243695	Leptospira_fainei_GCF_000306235	Leptospira_neocaledonica_GCF_002812205	Leptospira_yasudae_GCF_003545925	Leptospira_venezuelensis_GCF_002150035	Leptospira_abararensis_GCF_016918735	Leptospira_congkakensis_GCF_004770265	Leptospira_ognonensis_GCF_004770745	Leptospira_wolbachii_GCF_000332515	Leptospira_mayottensis_GCF_000306675	Leptospira_noumeaensis_GCF_004770765	Leptospira_stimsonii_GCF_003545885	Leptospira_borgpetersenii_GCF_003046425	Leptospira_perdikensis_GCF_004769575	Leptospira_ainazelensis_GCF_016918785	Leptospira_kemamanensis_GCF_004769665	Leptospira_jelokensis_GCF_004769775	Leptospira_milleri_GCF_040833955	Leptospira_kobayashii_GCF_003114835	Leptospira_koniambonensis_GCF_004769555	Leptospira_iowaensis_GCF_040833965	Leptospira_andrefontaineae_GCF_004770105	Leptospira_adleri_GCF_002811985	Leptospira_montravelensis_GCF_004769455	Leptospira_ainlahdjerensis_GCF_016919175	Leptospira_mgodei_GCF_040833985	Leptospira_biflexa_GCF_000017685	Leptospira_semungkisensis_GCF_004770055	Leptospira_hartskeerlii_GCF_002811475	Leptospira_sarikeiensis_GCF_004769615	Leptospira_terpstrae_GCF_000332495	Leptospira_kanakyensis_GCF_004769235	Leptospira_wolffii_GCF_000306115	Leptospira_sanjuanensis_GCF_022267325	Leptospira_harrisiae_GCF_002811945	Leptospira_vanthielii_GCF_000332455	Leptospira_barantonii_GCF_002811925	Leptospira_dzoumogneensis_GCF_004770895
Leptospira_tipperaryensis_GCF_001729245	100	71.568	71.691	78.892	69.863	78.863	69.810	71.518	77.586	70.198	70.223	77.575	71.581	71.648	69.516	71.506	80.154	70.106	69.866	71.737	79.919	70.041	71.534	77.919	77.845	71.823	79.051	70.493	80.009	71.450	70.061	71.467	70.853	70.023	69.996	78.169	71.461	71.717	79.639	71.557	70.143	70.162	69.512	70.288	78.731	70.016	85.743	78.507	70.032	86.233	70.100	69.841	70.448	70.830	71.528	70.117	71.640	84.989	70.026	87.581	69.951	70.001	71.728	71.683	71.812	70.036	70.133	71.807	79.662	70.198	70.013	79.877	71.698
Leptospira_saintgironsiae_GCF_002811765	71.568	100	87.738	71.462	70.286	71.469	70.198	72.581	71.183	70.512	70.454	71.022	76.744	87.360	69.831	72.415	71.450	70.494	70.250	90.127	71.408	70.382	89.580	71.835	71.852	86.251	71.625	70.201	71.340	72.726	70.578	72.402	71.036	70.458	70.371	71.756	72.629	88.032	71.355	88.533	70.340	70.476	69.788	70.286	71.523	70.363	71.462	71.516	70.302	71.458	70.270	70.153	70.259	70.630	90.869	70.328	89.523	71.416	70.553	71.520	70.459	70.224	77.116	88.819	81.125	70.325	70.346	75.167	71.372	70.484	70.344	71.489	89.427
Leptospira_johnsonii_GCF_003112675	71.691	87.738	100	71.699	70.044	71.570	70.034	72.864	71.416	70.273	70.132	71.392	77.079	87.120	69.584	72.894	71.776	70.165	70.080	87.881	71.766	70.168	87.494	71.688	71.634	87.651	71.684	70.409	71.789	72.791	70.351	72.480	70.936	70.296	70.103	71.823	72.884	89.484	71.713	86.749	70.047	70.228	69.604	69.970	71.656	70.165	71.656	71.667	70.306	71.727	70.091	69.982	69.993	70.610	87.499	70.052	87.751	71.595	70.206	71.650	70.304	70.060	77.218	87.930	81.122	70.170	70.264	75.702	71.734	70.288	70.220	71.755	88.019
Leptospira_santarosai_GCF_000313175	78.892	71.462	71.699	100	69.655	88.140	69.782	71.799	78.025	69.942	70.006	77.937	71.522	71.768	69.105	71.932	78.609	69.712	69.821	71.587	81.702	69.917	71.530	80.719	80.637	71.969	88.733	70.381	84.086	71.569	69.941	71.523	70.856	69.928	69.711	81.040	71.688	71.678	80.835	71.386	70.046	69.803	69.223	69.840	87.991	69.855	78.710	88.041	69.795	78.835	69.872	69.716	69.852	70.615	71.492	69.922	71.638	79.044	69.979	78.623	70.055	69.793	71.581	71.601	71.779	69.876	69.826	72.111	80.789	69.788	70.021	81.381	71.697
Leptospira_levettii_GCF_002812085	69.863	70.286	70.044	69.655	100	69.744	82.372	69.149	69.560	78.995	78.896	69.411	69.635	69.789	72.425	69.322	69.853	78.770	81.976	69.967	69.715	78.974	70.074	69.983	70.130	69.788	69.768	72.778	69.820	69.250	78.528	69.696	73.022	78.620	92.088	70.027	69.362	70.068	69.729	70.149	78.473	78.954	72.766	78.515	69.915	78.997	69.753	69.710	78.616	69.652	83.322	81.736	82.247	72.876	70.167	83.741	70.216	69.516	78.894	69.652	78.526	82.186	69.544	69.926	69.938	78.588	78.838	69.280	69.530	78.803	78.506	69.739	69.955
Leptospira_weilii_GCF_006874745	78.863	71.469	71.570	88.140	69.744	100	69.682	71.660	77.528	69.992	69.826	77.562	71.607	71.700	69.146	71.763	78.645	69.884	69.581	71.578	81.512	69.874	71.425	80.876	80.947	71.834	94.622	70.356	84.484	71.540	69.865	71.409	70.946	69.834	69.642	81.177	71.553	71.662	80.901	71.415	69.855	69.845	69.315	69.873	91.784	69.810	78.593	91.333	69.793	78.788	69.832	69.709	69.770	70.452	71.409	69.768	71.467	78.786	69.871	78.464	70.018	69.713	71.558	71.583	71.779	69.829	69.761	71.910	80.817	69.743	69.674	81.374	71.804
Leptospira_bouyouniensis_GCF_004770445	69.810	70.198	70.034	69.782	82.372	69.682	100	69.272	69.680	78.759	78.950	69.352	69.594	70.020	72.730	69.026	69.849	78.627	84.284	69.977	69.488	78.681	70.108	70.157	70.287	70.017	69.681	73.013	69.641	69.435	78.506	69.769	72.959	78.704	82.254	70.067	69.398	70.021	69.574	70.223	78.568	78.714	72.734	78.445	70.008	78.757	69.687	69.727	78.906	69.682	82.117	83.696	81.460	72.862	70.213	82.159	70.223	69.621	78.675	69.564	78.531	83.769	69.840	69.921	70.041	78.668	78.762	69.501	69.576	78.707	78.489	69.786	69.989
Leptospira_inadai_GCF_000243675	71.518	72.581	72.864	71.799	69.149	71.660	69.272	100	71.539	69.501	69.405	71.610	72.878	72.967	69.187	75.058	71.599	69.498	69.386	72.839	71.815	69.622	72.714	71.152	71.144	73.113	71.515	70.113	71.653	90.292	69.619	72.383	70.310	69.462	69.316	71.317	86.482	72.887	71.684	72.508	69.543	69.458	69.312	69.643	71.352	69.434	71.478	71.387	69.534	71.573	69.357	69.321	69.504	70.278	72.553	69.306	72.768	71.588	69.582	71.570	69.572	69.441	72.951	72.797	72.980	69.574	69.528	73.393	71.804	69.452	69.591	71.612	72.988
Leptospira_gomenensis_GCF_004770155	77.586	71.183	71.416	78.025	69.560	77.528	69.680	71.539	100	69.875	69.580	85.906	71.578	71.496	69.257	72.019	77.721	69.666	69.766	71.326	78.949	69.723	71.141	76.363	76.320	71.611	77.432	70.262	78.545	71.508	69.922	71.262	70.657	69.769	69.803	76.717	71.493	71.386	78.874	71.058	69.830	69.680	69.107	69.854	77.020	69.594	77.642	77.316	69.627	77.822	69.924	69.643	69.806	70.380	71.194	69.773	71.310	78.049	69.817	77.657	69.705	69.879	71.365	71.347	71.463	69.592	69.693	72.144	79.021	69.618	69.680	78.531	71.516
Leptospira_mtsangambouensis_GCF_004770475	70.198	70.512	70.273	69.942	78.995	69.992	78.759	69.501	69.875	100	94.988	69.372	70.045	70.420	72.394	69.543	70.096	82.669	78.781	70.454	69.839	85.188	70.244	70.232	70.249	70.205	69.993	73.133	70.061	69.490	82.711	69.829	73.299	89.609	78.931	70.378	69.670	70.320	69.862	70.512	82.706	84.107	72.792	82.881	70.096	84.038	70.002	69.956	83.107	70.099	79.206	78.729	78.624	73.159	70.550	78.987	70.478	69.882	84.312	70.132	82.784	78.796	70.131	70.377	70.255	82.657	84.539	69.596	69.830	86.729	82.802	69.966	70.360
